task_run__finish_time,SustainedEngagement,DistributionOfEffort,ProjectAppeal,PublicContribution
2014-07-01,0.00014310645522649305,0.11700210892227703,4.9092627599243865,0.8336483931947071
2014-08-01,7.719282004537545e-06,0.06364061549161093,8.401920438957475,0.08401920438957475
2014-09-01,5.859051833021017e-06,0.11668814598724009,0.9236111111111112,0.05555555555555555
2014-10-01,2.365592738745362e-06,0.15635696821515888,0.23712665406427225,0.038903591682419664
2014-11-01,0.006724645808241951,0.25304136253041365,0.04661117717003567,0.017479191438763374
2014-12-01,4.89788666322613e-06,0.12406298514082947,0.07118414256198348,0.004745609504132232
2015-01-01,2.1346644053342354e-06,0.19153225806451613,0.04802912553385143,0.002287101215897687
2015-02-01,1.6826755491004815e-06,0.21965230536659108,0.018632865550022637,0.00709823449524672
2015-03-01,0.0001812548782517833,0.3882882882882883,0.008373086507653971,0.010117479530081882
2015-04-01,0.00024297748027218518,0.29890109890109895,0.008388878743608474,0.0016777757487216947
2015-05-01,0.0012410238418630328,0.3727272727272727,0.004610636456020174,0.00046106364560201743
2015-06-01,0.0003696690761991979,0.3085678549093184,0.0057670126874279125,0.005382545174932718
2015-07-01,4.354749873136123e-05,0.45148601398601396,0.005289256198347108,0.001322314049586777
2015-08-01,1.4298308179116073e-06,0.22358462004238566,0.005023894828578102,0.0012559737071445255
2015-09-01,9.15435474903031e-09,0.31182795698924726,0.0021874891493593785,0.00048610869985763963
2015-10-01,1.4181648511847352e-08,0.37578616352201255,0.0025520833333333337,0.00042534722222222225
2015-11-01,0.00011349038483742478,0.5324074074074074,0.0015190030380060763,0.00037975075950151906
2015-12-01,6.598602805867391e-08,0.5,0.001674177688336448,0.0005859621909177567
2016-01-01,1.7128503884386078e-07,0.4391534391534392,0.0010557094490612495,0.00030163127116035704
2016-02-01,2.580606967271091e-07,0.39610389610389607,0.0009527777777777779,0.00027222222222222226
2016-03-01,0.00030806937290333203,0.16773455377574376,0.001226766543823105,0.00036802996314693154
2016-04-01,2.6015633536429627e-09,0.3955773955773956,0.0012336326246621242,0.00022429684084765894
2016-05-01,0.009826638045346272,0.5238095238095238,0.00030609121518212427,0.00020406081012141618
2016-06-01,0.007342760870593982,0.4434782608695652,0.0004699933241764566,0.00018799732967058266
2016-07-01,6.916450823045268e-09,0.4693877551020408,0.0006097777777777778,8.711111111111112e-05
2016-08-01,0.008923894956467783,1.0,7.971938775510203e-05,0.00430484693877551
2016-09-01,6.452277440405413e-09,0.28364389233954457,0.0005202140309155767,0.00014863258026159333
2016-10-01,6.979089007953331e-07,0.4444444444444444,0.00041272657846858784,0.00044712046000763687
2016-11-01,2.0608105139269215e-08,0.3761904761904762,0.0008939555055148976,0.0001277079293592711
2016-12-01,0.0,0.6666666666666667,0.00017869103347843365,5.956367782614455e-05
2017-01-01,0.0003089040684441255,0.3087912087912088,0.000561697288721577,8.425459330823655e-05
2017-02-01,0.0036092764263839904,0.6,0.00010501995379122033,0.00026254988447805085
2017-03-01,6.605373487005093e-10,0.4453781512605042,0.000838020581302584,4.9295328311916703e-05
2017-04-01,0.0034680917935779806,1.0,9.741463545554762e-05,9.741463545554762e-05
